idx,Symbol,avg,Date,Open,High,Low,Close,date,time,hour,ampm,ts
1546,,9167.265,,,,,,Tue Jun 18 2019 13:00:00 GMT+0100 (British Summer Time),01-PM,13,PM,
1547,,9168.4,,,,,,Wed Jun 19 2019 00:00:00 GMT+0100 (British Summer Time),12-PM,24,PM,
1548,,9200.045,,,,,,Tue Jun 18 2019 11:00:00 GMT+0100 (British Summer Time),11-AM,11,AM,
1549,,9218.89,,,,,,Tue Jun 18 2019 10:00:00 GMT+0100 (British Summer Time),10-AM,10,AM,
1550,,9177.6,,,,,,Tue Jun 18 2019 09:00:00 GMT+0100 (British Summer Time),09-AM,9,AM,
1551,,9113.575,,,,,,Tue Jun 18 2019 08:00:00 GMT+0100 (British Summer Time),08-AM,8,AM,
1552,,9120.904999999999,,,,,,Tue Jun 18 2019 07:00:00 GMT+0100 (British Summer Time),07-AM,7,AM,
1553,,9138.435000000001,,,,,,Tue Jun 18 2019 06:00:00 GMT+0100 (British Summer Time),06-AM,6,AM,
1554,,9175.1,,,,,,Tue Jun 18 2019 05:00:00 GMT+0100 (British Summer Time),05-AM,5,AM,
1555,,9234.42,,,,,,Tue Jun 18 2019 04:00:00 GMT+0100 (British Summer Time),04-AM,4,AM,
1556,,9230.755000000001,,,,,,Tue Jun 18 2019 03:00:00 GMT+0100 (British Summer Time),03-AM,3,AM,
1557,,9248.11,,,,,,Tue Jun 18 2019 02:00:00 GMT+0100 (British Summer Time),02-AM,2,AM,
1558,,9278.695,,,,,,Tue Jun 18 2019 01:00:00 GMT+0100 (British Summer Time),01-AM,1,AM,
1559,,9299.154999999999,,,,,,Tue Jun 18 2019 12:00:00 GMT+0100 (British Summer Time),12-AM,12,AM,
1560,,9317.189999999999,,,,,,Mon Jun 17 2019 23:00:00 GMT+0100 (British Summer Time),11-PM,23,PM,
1561,,9294.5,,,,,,Mon Jun 17 2019 22:00:00 GMT+0100 (British Summer Time),10-PM,22,PM,
1562,,9253.51,,,,,,Mon Jun 17 2019 21:00:00 GMT+0100 (British Summer Time),09-PM,21,PM,
1563,,9258.32,,,,,,Mon Jun 17 2019 20:00:00 GMT+0100 (British Summer Time),08-PM,20,PM,
1564,,9269.095000000001,,,,,,Mon Jun 17 2019 19:00:00 GMT+0100 (British Summer Time),07-PM,19,PM,
1565,,9244.185,,,,,,Mon Jun 17 2019 18:00:00 GMT+0100 (British Summer Time),06-PM,18,PM,
1566,,9213.56,,,,,,Mon Jun 17 2019 17:00:00 GMT+0100 (British Summer Time),05-PM,17,PM,
1567,,9178.58,,,,,,Mon Jun 17 2019 16:00:00 GMT+0100 (British Summer Time),04-PM,16,PM,
1568,,9258.25,,,,,,Mon Jun 17 2019 15:00:00 GMT+0100 (British Summer Time),03-PM,15,PM,
